A1;4
A2;3,6667
A3;3,3333
A4;3
A5;2,6667
A6;2,3333
A7;2
A8;1,6667
A9;1,3333
A10;1
A11;0,6667
A12;0,3333
B1;0
B2;-0,3333
B3;-0,6667
B4;-1
B5;-1,3333
B6;-1,6667
B7;-2
B8;-2,3333
B9;-2,6667
B10;-3
B11;-3,3333
B12;-3,6667
C1;-4
C2;3,6667
C3;3,3333
C4;3
C5;2,6667
C6;2,3333
C7;2
C8;1,6667
C9;1,3333
C10;1
C11;0,6667
C12;0,3333
D1;0
D2;-0,3333
D3;-0,6667
D4;-1
D5;-1,3333
D6;-1,6667
D7;-2
D8;-2,3333
D9;-2,6667
D10;-3
D11;-3,3333
D12;-3,6667
E1;4
E2;3,6667
E3;3,3333
E4;3
E5;2,6667
E6;2,3333
E7;2
E8;1,6667
E9;1,3333
E10;1
E11;0,6667
E12;0,3333
F1;0
F2;-0,3333
F3;-0,6667
F4;-1
F5;-1,3333
F6;-1,6667
F7;-2
F8;-2,3333
F9;-2,6667
F10;-3
F11;-3,3333
F12;-3,6667
G1;-4
G2;3,6667
G3;3,3333
G4;3
G5;2,6667
G6;2,3333
G7;2
G8;1,6667
G9;1,3333
G10;1
G11;0,6667
G12;0,3333
H1;0
H2;-0,3333
H3;-0,6667
H4;-1
H5;-1,3333
H6;-1,6667
H7;-2
H8;-2,3333
H9;-2,6667
H10;-3
H11;-3,3333
H12;-3,6667
